type	time	latitude	longitude	altitude (m)	name	desc
T	2024-10-18 19:49:58	41.648845000	-70.481345000	20.5		
T	2024-10-18 19:49:59	41.648847000	-70.481347000	20.5		
T	2024-10-18 19:50:00	41.648847000	-70.481350000	20.5		
T	2024-10-18 19:50:01	41.648840000	-70.481351000	20.5		
T	2024-10-18 19:50:02	41.648838000	-70.481349000	20.5		
T	2024-10-18 19:50:03	41.648843000	-70.481348000	20.5		
T	2024-10-18 19:50:04	41.648847000	-70.481347000	20.5		
T	2024-10-18 19:50:05	41.648845000	-70.481353000	20.5		
T	2024-10-18 19:50:06	41.648843000	-70.481347000	20.5		
T	2024-10-18 19:50:07	41.648840000	-70.481344000	20.5		
T	2024-10-18 19:50:08	41.648839000	-70.481349000	20.5		
T	2024-10-18 19:50:09	41.648838000	-70.481350000	20.5		
T	2024-10-18 19:50:10	41.648835000	-70.481351000	20.5		
T	2024-10-18 19:50:11	41.648835000	-70.481352000	20.5		
T	2024-10-18 19:50:12	41.648836000	-70.481354000	20.5		
T	2024-10-18 19:50:13	41.648837000	-70.481348000	20.5		
T	2024-10-18 19:50:14	41.648841000	-70.481356000	20.5		
T	2024-10-18 19:50:15	41.648851000	-70.481363000	20.5		
T	2024-10-18 19:50:16	41.648859000	-70.481375000	20.5		
T	2024-10-18 19:50:17	41.648856000	-70.481373000	20.5		
T	2024-10-18 19:50:18	41.648847000	-70.481365000	20.5		
T	2024-10-18 19:50:19	41.648842000	-70.481360000	20.5		
T	2024-10-18 19:50:20	41.648839000	-70.481355000	20.5		
T	2024-10-18 19:50:21	41.648836000	-70.481349000	20.5		
T	2024-10-18 19:50:22	41.648832000	-70.481351000	20.5		
T	2024-10-18 19:50:23	41.648831000	-70.481355000	20.5		
T	2024-10-18 19:50:24	41.648830000	-70.481357000	20.5		
T	2024-10-18 19:50:25	41.648828000	-70.481353000	20.5		
T	2024-10-18 19:50:26	41.648826000	-70.481357000	20.5		
T	2024-10-18 19:50:27	41.648824000	-70.481357000	20.5		
T	2024-10-18 19:50:28	41.648821000	-70.481352000	20.5		
T	2024-10-18 19:50:29	41.648821000	-70.481351000	20.5		
T	2024-10-18 19:50:30	41.648822000	-70.481358000	20.5		
T	2024-10-18 19:50:31	41.648823000	-70.481357000	20.5		
T	2024-10-18 19:50:32	41.648826000	-70.481348000	20.5		
T	2024-10-18 19:50:33	41.648826000	-70.481350000	20.5		
T	2024-10-18 19:50:34	41.648823000	-70.481348000	20.5		
T	2024-10-18 19:50:35	41.648821000	-70.481342000	20.5		
T	2024-10-18 19:50:36	41.648827000	-70.481343000	20.5		
T	2024-10-18 19:50:37	41.648829000	-70.481337000	20.5		
T	2024-10-18 19:50:38	41.648831000	-70.481331000	20.5		
T	2024-10-18 19:50:39	41.648834000	-70.481324000	20.5		
T	2024-10-18 19:50:40	41.648836000	-70.481318000	20.5		
T	2024-10-18 19:50:41	41.648838000	-70.481312000	20.5		
T	2024-10-18 19:50:42	41.648840000	-70.481306000	20.5		
T	2024-10-18 19:50:43	41.648842000	-70.481300000	20.5		
T	2024-10-18 19:50:44	41.648845000	-70.481294000	20.5		
T	2024-10-18 19:50:45	41.648847000	-70.481288000	20.5		
T	2024-10-18 19:50:46	41.648849000	-70.481282000	20.5		
T	2024-10-18 19:50:47	41.648851000	-70.481246000	20.5		
T	2024-10-18 19:50:48	41.648867000	-70.481197000	20.5		
T	2024-10-18 19:50:49	41.648879000	-70.481154000	20.5		
T	2024-10-18 19:50:50	41.648882000	-70.481136000	20.5		
T	2024-10-18 19:50:51	41.648882000	-70.481098000	20.5		
T	2024-10-18 19:50:52	41.648880000	-70.481061000	20.5		
T	2024-10-18 19:50:54	41.648890000	-70.481026000	20.5		
T	2024-10-18 19:50:55	41.648892000	-70.481004000	20.5		
T	2024-10-18 19:50:56	41.648894000	-70.480982000	20.5		
T	2024-10-18 19:50:57	41.648875000	-70.480930000	20.6		
T	2024-10-18 19:50:58	41.648866000	-70.480910000	20.6		
T	2024-10-18 19:50:59	41.648865000	-70.480882000	20.5		
T	2024-10-18 19:51:00	41.648865000	-70.480864000	20.4		
T	2024-10-18 19:51:01	41.648865000	-70.480845000	20.4		
T	2024-10-18 19:51:02	41.648885000	-70.480821000	20.2		
T	2024-10-18 19:51:03	41.648908000	-70.480787000	20.1		
T	2024-10-18 19:51:04	41.648915000	-70.480775000	20.0		
T	2024-10-18 19:51:05	41.648933000	-70.480743000	19.9		
T	2024-10-18 19:51:06	41.648950000	-70.480710000	19.8		
T	2024-10-18 19:51:07	41.648972000	-70.480676000	19.7		
T	2024-10-18 19:51:08	41.648978000	-70.480656000	19.6		
T	2024-10-18 19:51:09	41.648987000	-70.480611000	19.5		
T	2024-10-18 19:51:10	41.648990000	-70.480597000	19.5		
T	2024-10-18 19:51:11	41.648995000	-70.480560000	19.4		
T	2024-10-18 19:51:12	41.649006000	-70.480513000	19.2		
T	2024-10-18 19:51:13	41.649007000	-70.480498000	19.2		
T	2024-10-18 19:51:14	41.649018000	-70.480444000	19.1		
T	2024-10-18 19:51:15	41.649021000	-70.480422000	19.0		
T	2024-10-18 19:51:16	41.649030000	-70.480382000	18.9		
T	2024-10-18 19:51:17	41.649047000	-70.480348000	18.9		
T	2024-10-18 19:51:18	41.649057000	-70.480308000	18.8		
T	2024-10-18 19:51:19	41.649070000	-70.480265000	18.7		
T	2024-10-18 19:51:20	41.649078000	-70.480251000	18.7		
T	2024-10-18 19:51:21	41.649081000	-70.480213000	18.6		
T	2024-10-18 19:51:22	41.649087000	-70.480173000	18.6		
T	2024-10-18 19:51:23	41.649094000	-70.480119000	18.5		
T	2024-10-18 19:51:24	41.649108000	-70.480073000	18.5		
T	2024-10-18 19:51:25	41.649113000	-70.480056000	18.5		
T	2024-10-18 19:51:26	41.649123000	-70.480018000	18.5		
T	2024-10-18 19:51:27	41.649121000	-70.479972000	18.5		
T	2024-10-18 19:51:28	41.649130000	-70.479933000	18.5		
T	2024-10-18 19:51:29	41.649149000	-70.479882000	18.5		
T	2024-10-18 19:51:30	41.649162000	-70.479840000	18.5		
T	2024-10-18 19:51:31	41.649160000	-70.479794000	18.5		
T	2024-10-18 19:51:32	41.649169000	-70.479752000	18.5		
T	2024-10-18 19:51:33	41.649187000	-70.479721000	18.5		
T	2024-10-18 19:51:34	41.649188000	-70.479674000	18.6		
T	2024-10-18 19:51:35	41.649199000	-70.479618000	18.6		
T	2024-10-18 19:51:36	41.649203000	-70.479594000	18.7		
T	2024-10-18 19:51:37	41.649216000	-70.479548000	18.7		
T	2024-10-18 19:51:38	41.649222000	-70.479534000	18.8		
T	2024-10-18 19:51:39	41.649230000	-70.479497000	18.9		
T	2024-10-18 19:51:40	41.649233000	-70.479447000	19.0		
T	2024-10-18 19:51:41	41.649238000	-70.479408000	19.0		
T	2024-10-18 19:51:42	41.649243000	-70.479364000	19.1		
T	2024-10-18 19:51:43	41.649260000	-70.479328000	19.3		
T	2024-10-18 19:51:44	41.649266000	-70.479287000	19.4		
T	2024-10-18 19:51:45	41.649277000	-70.479241000	19.5		
T	2024-10-18 19:51:46	41.649283000	-70.479222000	19.5		
T	2024-10-18 19:51:47	41.649290000	-70.479180000	19.7		
T	2024-10-18 19:51:48	41.649302000	-70.479143000	19.8		
T	2024-10-18 19:51:49	41.649321000	-70.479106000	19.9		
T	2024-10-18 19:51:50	41.649327000	-70.479087000	19.9		
T	2024-10-18 19:51:51	41.649337000	-70.479047000	20.1		
T	2024-10-18 19:51:52	41.649339000	-70.479026000	20.1		
T	2024-10-18 19:51:53	41.649344000	-70.478974000	20.3		
T	2024-10-18 19:51:54	41.649344000	-70.478953000	20.3		
T	2024-10-18 19:51:55	41.649354000	-70.478918000	20.4		
T	2024-10-18 19:51:56	41.649359000	-70.478881000	20.5		
T	2024-10-18 19:51:57	41.649374000	-70.478830000	20.6		
T	2024-10-18 19:51:58	41.649379000	-70.478803000	20.6		
T	2024-10-18 19:51:59	41.649389000	-70.478753000	20.7		
T	2024-10-18 19:52:00	41.649392000	-70.478734000	20.8		
T	2024-10-18 19:52:01	41.649403000	-70.478700000	20.8		
T	2024-10-18 19:52:02	41.649413000	-70.478645000	20.9		
T	2024-10-18 19:52:03	41.649416000	-70.478624000	20.9		
T	2024-10-18 19:52:04	41.649419000	-70.478571000	21.0		
T	2024-10-18 19:52:05	41.649421000	-70.478553000	21.0		
T	2024-10-18 19:52:06	41.649431000	-70.478518000	21.0		
T	2024-10-18 19:52:07	41.649437000	-70.478468000	21.1		
T	2024-10-18 19:52:08	41.649441000	-70.478451000	21.1		
T	2024-10-18 19:52:09	41.649438000	-70.478407000	21.1		
T	2024-10-18 19:52:10	41.649451000	-70.478357000	21.1		
T	2024-10-18 19:52:11	41.649455000	-70.478341000	21.1		
T	2024-10-18 19:52:12	41.649465000	-70.478291000	21.2		
T	2024-10-18 19:52:13	41.649469000	-70.478276000	21.2		
T	2024-10-18 19:52:14	41.649469000	-70.478225000	21.2		
T	2024-10-18 19:52:15	41.649471000	-70.478206000	21.2		
T	2024-10-18 19:52:16	41.649485000	-70.478161000	21.3		
T	2024-10-18 19:52:17	41.649486000	-70.478138000	21.3		
T	2024-10-18 19:52:18	41.649483000	-70.478087000	21.3		
T	2024-10-18 19:52:19	41.649481000	-70.478067000	21.3		
T	2024-10-18 19:52:20	41.649484000	-70.478026000	21.4		
T	2024-10-18 19:52:21	41.649490000	-70.477983000	21.4		
T	2024-10-18 19:52:22	41.649492000	-70.477969000	21.4		
T	2024-10-18 19:52:23	41.649505000	-70.477923000	21.4		
T	2024-10-18 19:52:24	41.649512000	-70.477907000	21.4		
T	2024-10-18 19:52:25	41.649513000	-70.477861000	21.3		
T	2024-10-18 19:52:26	41.649515000	-70.477848000	21.3		
T	2024-10-18 19:52:27	41.649518000	-70.477803000	21.3		
T	2024-10-18 19:52:28	41.649523000	-70.477791000	21.3		
T	2024-10-18 19:52:29	41.649521000	-70.477746000	21.3		
T	2024-10-18 19:52:30	41.649519000	-70.477727000	21.3		
T	2024-10-18 19:52:31	41.649521000	-70.477679000	21.2		
T	2024-10-18 19:52:32	41.649521000	-70.477662000	21.2		
T	2024-10-18 19:52:33	41.649524000	-70.477622000	21.2		
T	2024-10-18 19:52:34	41.649527000	-70.477612000	21.2		
T	2024-10-18 19:52:35	41.649529000	-70.477572000	21.1		
T	2024-10-18 19:52:36	41.649535000	-70.477529000	21.1		
T	2024-10-18 19:52:37	41.649534000	-70.477478000	21.1		
T	2024-10-18 19:52:38	41.649531000	-70.477456000	21.0		
T	2024-10-18 19:52:39	41.649532000	-70.477418000	21.0		
T	2024-10-18 19:52:40	41.649533000	-70.477377000	21.0		
T	2024-10-18 19:52:41	41.649531000	-70.477339000	20.9		
T	2024-10-18 19:52:42	41.649526000	-70.477296000	20.9		
T	2024-10-18 19:52:43	41.649526000	-70.477271000	20.9		
T	2024-10-18 19:52:44	41.649528000	-70.477235000	20.8		
T	2024-10-18 19:52:45	41.649527000	-70.477192000	20.8		
T	2024-10-18 19:52:46	41.649529000	-70.477150000	20.7		
T	2024-10-18 19:52:47	41.649525000	-70.477130000	20.7		
T	2024-10-18 19:52:48	41.649526000	-70.477079000	20.7		
T	2024-10-18 19:52:49	41.649528000	-70.477060000	20.6		
T	2024-10-18 19:52:50	41.649527000	-70.477011000	20.6		
T	2024-10-18 19:52:51	41.649527000	-70.476994000	20.6		
T	2024-10-18 19:52:52	41.649523000	-70.476938000	20.5		
T	2024-10-18 19:52:53	41.649519000	-70.476916000	20.5		
T	2024-10-18 19:52:54	41.649518000	-70.476867000	20.4		
T	2024-10-18 19:52:55	41.649516000	-70.476850000	20.4		
T	2024-10-18 19:52:56	41.649510000	-70.476804000	20.3		
T	2024-10-18 19:52:57	41.649509000	-70.476765000	20.2		
T	2024-10-18 19:52:58	41.649508000	-70.476719000	20.2		
T	2024-10-18 19:53:00	41.649501000	-70.476676000	20.1		
T	2024-10-18 19:53:01	41.649495000	-70.476630000	20.1		
T	2024-10-18 19:53:02	41.649490000	-70.476576000	20.0		
T	2024-10-18 19:53:03	41.649488000	-70.476555000	20.0		
T	2024-10-18 19:53:04	41.649487000	-70.476517000	19.9		
T	2024-10-18 19:53:05	41.649484000	-70.476474000	19.8		
T	2024-10-18 19:53:06	41.649483000	-70.476462000	19.8		
T	2024-10-18 19:53:07	41.649472000	-70.476416000	19.7		
T	2024-10-18 19:53:08	41.649469000	-70.476398000	19.7		
T	2024-10-18 19:53:09	41.649464000	-70.476350000	19.6		
T	2024-10-18 19:53:10	41.649464000	-70.476331000	19.5		
T	2024-10-18 19:53:11	41.649461000	-70.476282000	19.5		
T	2024-10-18 19:53:12	41.649459000	-70.476264000	19.4		
T	2024-10-18 19:53:13	41.649449000	-70.476215000	19.3		
T	2024-10-18 19:53:14	41.649448000	-70.476200000	19.3		
T	2024-10-18 19:53:15	41.649446000	-70.476156000	19.2		
T	2024-10-18 19:53:16	41.649444000	-70.476140000	19.2		
T	2024-10-18 19:53:17	41.649437000	-70.476103000	19.1		
T	2024-10-18 19:53:18	41.649431000	-70.476050000	19.0		
T	2024-10-18 19:53:19	41.649430000	-70.476031000	19.0		
T	2024-10-18 19:53:20	41.649419000	-70.475978000	18.9		
T	2024-10-18 19:53:21	41.649414000	-70.475958000	18.8		
T	2024-10-18 19:53:22	41.649409000	-70.475900000	18.7		
T	2024-10-18 19:53:23	41.649406000	-70.475877000	18.7		
T	2024-10-18 19:53:24	41.649398000	-70.475841000	18.6		
T	2024-10-18 19:53:25	41.649400000	-70.475794000	18.5		
T	2024-10-18 19:53:26	41.649395000	-70.475781000	18.5		
T	2024-10-18 19:53:27	41.649399000	-70.475707000	18.4		
T	2024-10-18 19:53:28	41.649391000	-70.475671000	18.3		
T	2024-10-18 19:53:29	41.649379000	-70.475634000	18.3		
T	2024-10-18 19:53:30	41.649386000	-70.475593000	18.2		
T	2024-10-18 19:53:31	41.649389000	-70.475577000	18.2		
T	2024-10-18 19:53:32	41.649379000	-70.475541000	18.1		
T	2024-10-18 19:53:33	41.649370000	-70.475506000	18.1		
T	2024-10-18 19:53:34	41.649359000	-70.475467000	18.0		
T	2024-10-18 19:53:35	41.649361000	-70.475421000	17.9		
T	2024-10-18 19:53:36	41.649363000	-70.475409000	17.9		
T	2024-10-18 19:53:37	41.649361000	-70.475369000	17.8		
T	2024-10-18 19:53:38	41.649352000	-70.475333000	17.8		
T	2024-10-18 19:53:39	41.649359000	-70.475288000	17.8		
T	2024-10-18 19:53:40	41.649359000	-70.475269000	17.7		
T	2024-10-18 19:53:41	41.649342000	-70.475228000	17.7		
T	2024-10-18 19:53:42	41.649336000	-70.475213000	17.7		
T	2024-10-18 19:53:43	41.649328000	-70.475176000	17.6		
T	2024-10-18 19:53:44	41.649322000	-70.475138000	17.6		
T	2024-10-18 19:53:45	41.649321000	-70.475086000	17.6		
T	2024-10-18 19:53:46	41.649317000	-70.475062000	17.6		
T	2024-10-18 19:53:47	41.649312000	-70.475022000	17.6		
T	2024-10-18 19:53:48	41.649303000	-70.474981000	17.6		
T	2024-10-18 19:53:49	41.649302000	-70.474972000	17.6		
T	2024-10-18 19:53:50	41.649293000	-70.474929000	17.6		
T	2024-10-18 19:53:51	41.649290000	-70.474891000	17.6		
T	2024-10-18 19:53:52	41.649290000	-70.474855000	17.6		
T	2024-10-18 19:53:53	41.649285000	-70.474802000	17.6		
T	2024-10-18 19:53:54	41.649281000	-70.474784000	17.6		
T	2024-10-18 19:53:55	41.649281000	-70.474733000	17.6		
T	2024-10-18 19:53:56	41.649278000	-70.474714000	17.6		
T	2024-10-18 19:53:57	41.649273000	-70.474669000	17.6		
T	2024-10-18 19:53:58	41.649273000	-70.474657000	17.6		
T	2024-10-18 19:53:59	41.649269000	-70.474613000	17.7		
T	2024-10-18 19:54:00	41.649266000	-70.474564000	17.7		
T	2024-10-18 19:54:01	41.649265000	-70.474548000	17.7		
T	2024-10-18 19:54:02	41.649265000	-70.474497000	17.7		
T	2024-10-18 19:54:03	41.649263000	-70.474474000	17.7		
T	2024-10-18 19:54:04	41.649257000	-70.474420000	17.8		
T	2024-10-18 19:54:05	41.649252000	-70.474399000	17.8		
T	2024-10-18 19:54:06	41.649250000	-70.474348000	17.8		
T	2024-10-18 19:54:07	41.649249000	-70.474325000	17.9		
T	2024-10-18 19:54:08	41.649247000	-70.474288000	17.9		
T	2024-10-18 19:54:09	41.649238000	-70.474234000	18.0		
T	2024-10-18 19:54:10	41.649237000	-70.474215000	18.0		
T	2024-10-18 19:54:11	41.649233000	-70.474162000	18.1		
T	2024-10-18 19:54:12	41.649233000	-70.474142000	18.1		
T	2024-10-18 19:54:13	41.649232000	-70.474098000	18.1		
T	2024-10-18 19:54:14	41.649228000	-70.474058000	18.2		
T	2024-10-18 19:54:15	41.649221000	-70.474022000	18.3		
T	2024-10-18 19:54:16	41.649223000	-70.473976000	18.4		
T	2024-10-18 19:54:17	41.649221000	-70.473958000	18.4		
T	2024-10-18 19:54:18	41.649207000	-70.473910000	18.5		
T	2024-10-18 19:54:19	41.649204000	-70.473890000	18.5		
T	2024-10-18 19:54:20	41.649202000	-70.473851000	18.6		
T	2024-10-18 19:54:21	41.649208000	-70.473838000	18.6		
T	2024-10-18 19:54:22	41.649212000	-70.473794000	18.8		
T	2024-10-18 19:54:23	41.649207000	-70.473743000	18.9		
T	2024-10-18 19:54:24	41.649198000	-70.473698000	19.1		
T	2024-10-18 19:54:25	41.649192000	-70.473681000	19.1		
T	2024-10-18 19:54:26	41.649194000	-70.473625000	19.3		
T	2024-10-18 19:54:27	41.649190000	-70.473575000	19.5		
T	2024-10-18 19:54:28	41.649192000	-70.473558000	19.5		
T	2024-10-18 19:54:29	41.649193000	-70.473513000	19.7		
T	2024-10-18 19:54:30	41.649186000	-70.473462000	19.8		
T	2024-10-18 19:54:31	41.649182000	-70.473445000	19.9		
T	2024-10-18 19:54:32	41.649181000	-70.473405000	20.0		
T	2024-10-18 19:54:33	41.649199000	-70.473360000	20.2		
T	2024-10-18 19:54:34	41.649209000	-70.473348000	20.2		
T	2024-10-18 19:54:35	41.649202000	-70.473300000	20.4		
T	2024-10-18 19:54:36	41.649200000	-70.473280000	20.4		
T	2024-10-18 19:54:37	41.649194000	-70.473228000	20.6		
T	2024-10-18 19:54:38	41.649185000	-70.473211000	20.7		
T	2024-10-18 19:54:39	41.649180000	-70.473160000	20.8		
T	2024-10-18 19:54:40	41.649180000	-70.473119000	20.9		
T	2024-10-18 19:54:41	41.649184000	-70.473075000	21.1		
T	2024-10-18 19:54:42	41.649181000	-70.473065000	21.1		
T	2024-10-18 19:54:43	41.649186000	-70.473020000	21.2		
T	2024-10-18 19:54:44	41.649189000	-70.472971000	21.4		
T	2024-10-18 19:54:45	41.649193000	-70.472953000	21.5		
T	2024-10-18 19:54:46	41.649183000	-70.472905000	21.6		
T	2024-10-18 19:54:47	41.649184000	-70.472884000	21.7		
T	2024-10-18 19:54:48	41.649189000	-70.472848000	21.8		
T	2024-10-18 19:54:49	41.649166000	-70.472806000	21.9		
T	2024-10-18 19:54:50	41.649162000	-70.472757000	22.0		
T	2024-10-18 19:54:51	41.649162000	-70.472740000	22.1		
T	2024-10-18 19:54:52	41.649173000	-70.472703000	22.2		
T	2024-10-18 19:54:53	41.649184000	-70.472689000	22.2		
T	2024-10-18 19:54:54	41.649196000	-70.472675000	22.3		
T	2024-10-18 19:54:55	41.649176000	-70.472651000	22.4		
T	2024-10-18 19:54:56	41.649167000	-70.472612000	22.5		
T	2024-10-18 19:54:57	41.649153000	-70.472573000	22.6		
T	2024-10-18 19:54:58	41.649139000	-70.472536000	22.7		
T	2024-10-18 19:54:59	41.649129000	-70.472497000	22.7		
T	2024-10-18 19:55:00	41.649126000	-70.472456000	22.8		
T	2024-10-18 19:55:01	41.649124000	-70.472410000	22.9		
T	2024-10-18 19:55:02	41.649123000	-70.472360000	23.0		
T	2024-10-18 19:55:03	41.649120000	-70.472342000	23.0		
T	2024-10-18 19:55:04	41.649111000	-70.472305000	23.1		
T	2024-10-18 19:55:06	41.649109000	-70.472268000	23.1		
T	2024-10-18 19:55:07	41.649109000	-70.472223000	23.2		
T	2024-10-18 19:55:08	41.649090000	-70.472182000	23.3		
T	2024-10-18 19:55:09	41.649084000	-70.472162000	23.3		
T	2024-10-18 19:55:10	41.649077000	-70.472126000	23.3		
T	2024-10-18 19:55:11	41.649076000	-70.472113000	23.3		
T	2024-10-18 19:55:12	41.649071000	-70.472076000	23.4		
T	2024-10-18 19:55:13	41.649070000	-70.472030000	23.4		
T	2024-10-18 19:55:14	41.649071000	-70.472012000	23.4		
T	2024-10-18 19:55:15	41.649050000	-70.471954000	23.5		
T	2024-10-18 19:55:16	41.649034000	-70.471929000	23.5		
T	2024-10-18 19:55:17	41.649044000	-70.471880000	23.6		
T	2024-10-18 19:55:18	41.649040000	-70.471829000	23.6		
T	2024-10-18 19:55:19	41.649043000	-70.471812000	23.6		
T	2024-10-18 19:55:20	41.649043000	-70.471795000	23.7		
T	2024-10-18 19:55:21	41.649042000	-70.471771000	23.7		
T	2024-10-18 19:55:22	41.649040000	-70.471726000	23.7		
T	2024-10-18 19:55:23	41.649044000	-70.471713000	23.7		
T	2024-10-18 19:55:24	41.649044000	-70.471677000	23.7		
T	2024-10-18 19:55:25	41.649031000	-70.471636000	23.8		
T	2024-10-18 19:55:26	41.649014000	-70.471594000	23.8		
T	2024-10-18 19:55:27	41.649009000	-70.471553000	23.8		
T	2024-10-18 19:55:28	41.649001000	-70.471490000	23.9		
T	2024-10-18 19:55:29	41.648962000	-70.471442000	23.9		
T	2024-10-18 19:55:30	41.648964000	-70.471395000	24.0		
T	2024-10-18 19:55:31	41.648966000	-70.471372000	24.0		
T	2024-10-18 19:55:32	41.648968000	-70.471333000	24.0		
T	2024-10-18 19:55:33	41.648970000	-70.471294000	24.1		
T	2024-10-18 19:55:34	41.648975000	-70.471281000	24.1		
T	2024-10-18 19:55:35	41.648978000	-70.471228000	24.2		
T	2024-10-18 19:55:36	41.648979000	-70.471176000	24.3		
T	2024-10-18 19:55:37	41.648980000	-70.471157000	24.3		
T	2024-10-18 19:55:38	41.648986000	-70.471104000	24.4		
T	2024-10-18 19:55:39	41.648985000	-70.471084000	24.4		
T	2024-10-18 19:55:40	41.648972000	-70.471041000	24.5		
T	2024-10-18 19:55:41	41.648968000	-70.470998000	24.5		
T	2024-10-18 19:55:42	41.648978000	-70.470961000	24.6		
T	2024-10-18 19:55:43	41.648983000	-70.470951000	24.6		
T	2024-10-18 19:55:44	41.648978000	-70.470916000	24.7		
T	2024-10-18 19:55:45	41.648975000	-70.470904000	24.7		
T	2024-10-18 19:55:46	41.648963000	-70.470858000	24.8		
T	2024-10-18 19:55:47	41.648961000	-70.470840000	24.8		
T	2024-10-18 19:55:48	41.648954000	-70.470795000	24.9		
T	2024-10-18 19:55:49	41.648938000	-70.470757000	24.9		
T	2024-10-18 19:55:50	41.648934000	-70.470741000	24.9		
T	2024-10-18 19:55:51	41.648913000	-70.470698000	25.0		
T	2024-10-18 19:55:52	41.648907000	-70.470684000	25.0		
T	2024-10-18 19:55:53	41.648894000	-70.470634000	25.1		
T	2024-10-18 19:55:54	41.648887000	-70.470618000	25.1		
T	2024-10-18 19:55:55	41.648868000	-70.470566000	25.2		
T	2024-10-18 19:55:56	41.648865000	-70.470520000	25.2		
T	2024-10-18 19:55:57	41.648858000	-70.470488000	25.3		
T	2024-10-18 19:55:58	41.648857000	-70.470473000	25.3		
T	2024-10-18 19:55:59	41.648842000	-70.470436000	25.3		
T	2024-10-18 19:56:00	41.648833000	-70.470397000	25.4		
T	2024-10-18 19:56:01	41.648829000	-70.470383000	25.4		
T	2024-10-18 19:56:02	41.648826000	-70.470350000	25.4		
T	2024-10-18 19:56:03	41.648821000	-70.470333000	25.5		
T	2024-10-18 19:56:04	41.648810000	-70.470289000	25.5		
T	2024-10-18 19:56:05	41.648799000	-70.470279000	25.6		
T	2024-10-18 19:56:06	41.648785000	-70.470233000	25.6		
T	2024-10-18 19:56:07	41.648778000	-70.470188000	25.7		
T	2024-10-18 19:56:08	41.648771000	-70.470170000	25.7		
T	2024-10-18 19:56:09	41.648753000	-70.470127000	25.8		
T	2024-10-18 19:56:10	41.648742000	-70.470091000	25.9		
T	2024-10-18 19:56:11	41.648714000	-70.470052000	26.0		
T	2024-10-18 19:56:12	41.648723000	-70.470014000	26.0		
T	2024-10-18 19:56:13	41.648719000	-70.469968000	26.1		
T	2024-10-18 19:56:14	41.648713000	-70.469951000	26.2		
T	2024-10-18 19:56:15	41.648689000	-70.469903000	26.3		
T	2024-10-18 19:56:16	41.648676000	-70.469887000	26.3		
T	2024-10-18 19:56:17	41.648667000	-70.469850000	26.4		
T	2024-10-18 19:56:18	41.648660000	-70.469823000	26.4		
T	2024-10-18 19:56:19	41.648660000	-70.469803000	26.4		
T	2024-10-18 19:56:20	41.648649000	-70.469761000	26.5		
T	2024-10-18 19:56:21	41.648642000	-70.469713000	26.6		
T	2024-10-18 19:56:22	41.648640000	-70.469694000	26.6		
T	2024-10-18 19:56:23	41.648656000	-70.469649000	26.7		
T	2024-10-18 19:56:24	41.648654000	-70.469629000	26.7		
T	2024-10-18 19:56:25	41.648646000	-70.469583000	26.8		
T	2024-10-18 19:56:26	41.648639000	-70.469572000	26.8		
T	2024-10-18 19:56:27	41.648621000	-70.469535000	26.9		
T	2024-10-18 19:56:28	41.648616000	-70.469520000	26.9		
T	2024-10-18 19:56:29	41.648610000	-70.469483000	26.9		
T	2024-10-18 19:56:30	41.648600000	-70.469449000	27.0		
T	2024-10-18 19:56:31	41.648584000	-70.469403000	27.0		
T	2024-10-18 19:56:32	41.648580000	-70.469387000	27.1		
T	2024-10-18 19:56:33	41.648569000	-70.469330000	27.1		
T	2024-10-18 19:56:34	41.648565000	-70.469307000	27.1		
T	2024-10-18 19:56:35	41.648546000	-70.469265000	27.2		
T	2024-10-18 19:56:36	41.648542000	-70.469251000	27.2		
T	2024-10-18 19:56:37	41.648533000	-70.469206000	27.2		
T	2024-10-18 19:56:38	41.648525000	-70.469194000	27.2		
T	2024-10-18 19:56:39	41.648516000	-70.469157000	27.3		
T	2024-10-18 19:56:40	41.648504000	-70.469116000	27.3		
T	2024-10-18 19:56:41	41.648485000	-70.469072000	27.3		
T	2024-10-18 19:56:42	41.648482000	-70.469055000	27.3		
T	2024-10-18 19:56:43	41.648478000	-70.469013000	27.3		
T	2024-10-18 19:56:44	41.648476000	-70.468997000	27.3		
T	2024-10-18 19:56:45	41.648461000	-70.468966000	27.3		
T	2024-10-18 19:56:46	41.648459000	-70.468913000	27.4		
T	2024-10-18 19:56:47	41.648456000	-70.468896000	27.4		
T	2024-10-18 19:56:48	41.648445000	-70.468849000	27.4		
T	2024-10-18 19:56:49	41.648444000	-70.468836000	27.4		
T	2024-10-18 19:56:50	41.648425000	-70.468797000	27.3		
T	2024-10-18 19:56:51	41.648419000	-70.468785000	27.3		
T	2024-10-18 19:56:52	41.648408000	-70.468748000	27.3		
T	2024-10-18 19:56:53	41.648405000	-70.468738000	27.3		
T	2024-10-18 19:56:54	41.648402000	-70.468691000	27.3		
T	2024-10-18 19:56:55	41.648401000	-70.468668000	27.3		
T	2024-10-18 19:56:56	41.648402000	-70.468644000	27.3		
T	2024-10-18 19:56:57	41.648382000	-70.468611000	27.2		
T	2024-10-18 19:56:58	41.648376000	-70.468603000	27.2		
T	2024-10-18 19:56:59	41.648360000	-70.468562000	27.2		
T	2024-10-18 19:57:00	41.648354000	-70.468549000	27.2		
T	2024-10-18 19:57:01	41.648341000	-70.468498000	27.1		
T	2024-10-18 19:57:02	41.648338000	-70.468473000	27.1		
T	2024-10-18 19:57:03	41.648323000	-70.468442000	27.0		
